Exercise Index,Progress Level,gpt-4o-mini Ranking,gemini-2.5-flash Ranking,qwen-plus Ranking,claude-3-5-haiku Ranking,Best,Mid,Worst
30,8th grade (13yo),"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 3, 'ar': 2}",{},"{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
31,8th grade (13yo),"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'ar': 2, 'en': 3}",{},"{'de': 1, 'ar': 2, 'en': 3}",de,ar,en
32,8th grade (13yo),"{'de': 1, 'en': 2, 'ar': 3}","{'de': 2, 'en': 1, 'ar': 3}",{},"{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
33,8th grade (13yo),"{'ar': 1, 'en': 2, 'de': 3}","{'ar': 1, 'de': 2, 'en': 3}",{},"{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
34,8th grade (13yo),"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'en': 2, 'ar': 3}",{},"{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
35,9th grade (14yo),"{'en': 1, 'ar': 2, 'de': 3}","{'en': 2, 'ar': 3, 'de': 1}",{},"{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
36,9th grade (14yo),"{'en': 1, 'ar': 2, 'de': 3}","{'en': 3, 'ar': 2, 'de': 1}",{},"{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
37,9th grade (14yo),"{'ar': 1, 'de': 2, 'en': 3}","{'ar': 1, 'de': 2, 'en': 3}",{},"{'ar': 1, 'de': 2, 'en': 3}",ar,de,en
38,9th grade (14yo),"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'en': 3, 'ar': 2}",{},"{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
39,10th grade (15yo),"{'ar': 1, 'en': 2, 'de': 3}","{'ar': 2, 'en': 3, 'de': 1}",{},"{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
40,10th grade (15yo),"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'ar': 2, 'en': 3}",{},"{'de': 1, 'ar': 2, 'en': 3}",de,ar,en
41,10th grade (15yo),"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 3, 'ar': 2}",{},"{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
42,10th grade (15yo),"{'en': 1, 'ar': 2, 'de': 3}","{'en': 1, 'ar': 2, 'de': 3}",{},"{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
43,10th grade (15yo),"{'en': 1, 'ar': 2, 'de': 3}","{'en': 3, 'ar': 1, 'de': 2}",{},"{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
44,10th grade (15yo),"{'de': 1, 'en': 2, 'ar': 3}","{'de': 3, 'en': 2, 'ar': 1}",{},"{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
45,2nd grade (7yo),"{'en': 1, 'de': 2, 'ar': 3}","{'en': 2, 'de': 1, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
46,2nd grade (7yo),"{'en': 1, 'de': 2, 'ar': 3}","{'en': 3, 'de': 1, 'ar': 2}",{},"{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
47,2nd grade (7yo),"{'en': 1, 'de': 2, 'ar': 3}","{'en': 3, 'de': 1, 'ar': 2}",{},"{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
48,2nd grade (7yo),"{'en': 1, 'de': 2, 'ar': 3}","{'en': 2, 'de': 1, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
49,2nd grade (7yo),"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
50,2nd grade (7yo),"{'ar': 1, 'en': 2, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
51,2nd grade (7yo),"{'ar': 1, 'de': 2, 'en': 3}","{'ar': 2, 'de': 1, 'en': 3}",{},"{'ar': 1, 'de': 2, 'en': 3}",ar,de,en
52,2nd grade (7yo),"{'de': 1, 'ar': 2, 'en': 3}","{'de': 1, 'ar': 3, 'en': 2}",{},"{'de': 1, 'ar': 2, 'en': 3}",de,ar,en
53,4th grade (9yo),"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'en': 2, 'ar': 3}",{},"{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
54,4th grade (9yo),"{'ar': 1, 'de': 2, 'en': 3}","{'ar': 2, 'de': 3, 'en': 1}",{},"{'ar': 2, 'de': 3, 'en': 1}",en,ar,de
55,4th grade (9yo),"{'de': 1, 'ar': 2, 'en': 3}","{'de': 2, 'ar': 3, 'en': 1}",{},"{'de': 1, 'ar': 2, 'en': 3}",de,ar,en
56,4th grade (9yo),"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'ar': 3, 'en': 2}",{},"{'de': 1, 'ar': 3, 'en': 2}",de,en,ar
57,4th grade (9yo),"{'ar': 1, 'de': 2, 'en': 3}","{'ar': 1, 'de': 3, 'en': 2}",{},"{'ar': 1, 'de': 2, 'en': 3}",ar,de,en
58,6th grade (11yo),"{'de': 1, 'en': 2, 'ar': 3}","{'de': 2, 'en': 1, 'ar': 3}",{},"{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
59,6th grade (11yo),"{'ar': 1, 'de': 2, 'en': 3}","{'ar': 1, 'de': 3, 'en': 2}",{},"{'ar': 1, 'de': 2, 'en': 3}",ar,de,en
60,6th grade (11yo),"{'de': 1, 'en': 2, 'ar': 3}","{'de': 2, 'en': 1, 'ar': 3}",{},"{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
61,6th grade (11yo),"{'en': 1, 'ar': 2, 'de': 3}","{'en': 3, 'ar': 1, 'de': 2}",{},"{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
62,6th grade (11yo),"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
63,7th grade (12 yo),"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'en': 2, 'ar': 3}",{},"{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
64,7th grade (12 yo),"{'ar': 1, 'de': 2, 'en': 3}","{'ar': 3, 'de': 2, 'en': 1}",{},"{'ar': 1, 'de': 3, 'en': 2}",ar,de,TIE
65,7th grade (12 yo),"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'en': 2, 'ar': 3}",{},"{'de': 2, 'en': 1, 'ar': 3}",de,en,ar
66,8th grade (13yo),"{'en': 1, 'ar': 2, 'de': 3}","{'en': 2, 'ar': 3, 'de': 1}",{},"{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
67,8th grade (13yo),"{'de': 1, 'ar': 2, 'en': 3}","{'de': 1, 'ar': 2, 'en': 3}",{},"{'de': 1, 'ar': 2, 'en': 3}",de,ar,en
68,8th grade (13yo),"{'ar': 1, 'de': 2, 'en': 3}","{'ar': 2, 'de': 1, 'en': 3}",{},"{'ar': 1, 'de': 2, 'en': 3}",ar,de,en
69,8th grade (13yo),"{'ar': 1, 'en': 2, 'de': 3}","{'ar': 2, 'en': 3, 'de': 1}",{},"{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
70,8th grade (13yo),"{'ar': 1, 'de': 2, 'en': 3}","{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 1, 'de': 2, 'en': 3}",ar,de,en
71,8th grade (13yo),"{'ar': 1, 'de': 2, 'en': 3}","{'ar': 2, 'de': 1, 'en': 3}",{},"{'ar': 1, 'de': 2, 'en': 3}",ar,de,en
72,9th grade (14yo),"{'ar': 1, 'de': 2, 'en': 3}","{'ar': 1, 'de': 2, 'en': 3}",{},"{'ar': 1, 'de': 2, 'en': 3}",ar,de,en
73,9th grade (14yo),"{'de': 1, 'ar': 2, 'en': 3}","{'de': 2, 'ar': 3, 'en': 1}",{},"{'de': 1, 'ar': 3, 'en': 2}",de,TIE,ar
74,9th grade (14yo),"{'ar': 1, 'de': 2, 'en': 3}","{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 2, 'de': 3, 'en': 1}",ar,TIE,de
75,9th grade (14yo),"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'en': 2, 'ar': 3}",{},"{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
76,10th grade (15yo),"{'ar': 1, 'en': 2, 'de': 3}","{'ar': 2, 'en': 3, 'de': 1}",{},"{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
77,10th grade (15yo),"{'en': 1, 'ar': 2, 'de': 3}","{'en': 2, 'ar': 3, 'de': 1}",{},"{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
78,10th grade (15yo),"{'ar': 1, 'en': 2, 'de': 3}","{'ar': 1, 'de': 3, 'en': 2}",{},"{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
79,10th grade (15yo),"{'de': 1, 'en': 2, 'ar': 3}","{'de': 2, 'en': 3, 'ar': 1}",{},"{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
80,2nd grade (7yo),"{'de': 1, 'en': 2, 'ar': 3}","{'de': 2, 'en': 3, 'ar': 1}",{},"{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
81,2nd grade (7yo),"{'ar': 2, 'de': 1, 'en': 3}","{'ar': 3, 'de': 1, 'en': 2}",{},"{'ar': 1, 'de': 2, 'en': 3}",de,TIE,en
82,2nd grade (7yo),"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'en': 3, 'ar': 2}",{},"{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
83,2nd grade (7yo),"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
84,2nd grade (7yo),"{'ar': 1, 'en': 2, 'de': 3}","{'ar': 2, 'en': 1, 'de': 3}",{},"{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
85,4th grade (9yo),"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'en': 3, 'ar': 2}",{},"{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
86,4th grade (9yo),"{'ar': 1, 'de': 2, 'en': 3}","{'ar': 2, 'de': 1, 'en': 3}",{},"{'ar': 1, 'de': 2, 'en': 3}",ar,de,en
87,4th grade (9yo),"{'ar': 1, 'en': 2, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
88,6th grade (11yo),"{'de': 1, 'en': 2, 'ar': 3}","{'de': 2, 'en': 1, 'ar': 3}",{},"{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
89,6th grade (11yo),"{'ar': 1, 'de': 2, 'en': 3}","{'ar': 3, 'de': 1, 'en': 2}",{},"{'ar': 1, 'de': 2, 'en': 3}",ar,de,en
90,6th grade (11yo),"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'en': 3, 'ar': 2}",{},"{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
91,6th grade (11yo),"{'en': 1, 'de': 2, 'ar': 3}","{'en': 2, 'de': 1, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
92,6th grade (11yo),"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
93,7th grade (12 yo),"{'de': 1, 'ar': 2, 'en': 3}","{'de': 1, 'ar': 3, 'en': 2}",{},"{'de': 1, 'ar': 2, 'en': 3}",de,ar,en
94,7th grade (12 yo),"{'de': 1, 'ar': 2, 'en': 3}","{'de': 3, 'ar': 2, 'en': 1}",{},"{'de': 1, 'ar': 3, 'en': 2}",de,ar,TIE
95,7th grade (12 yo),"{'en': 1, 'ar': 2, 'de': 3}","{'en': 3, 'ar': 2, 'de': 1}",{},"{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
96,8th grade (13yo),"{'de': 1, 'ar': 2, 'en': 3}","{'de': 1, 'ar': 2, 'en': 3}",{},"{'de': 1, 'ar': 2, 'en': 3}",de,ar,en
97,8th grade (13yo),"{'de': 1, 'en': 2, 'ar': 3}","{'de': 2, 'en': 1, 'ar': 3}",{},"{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
98,8th grade (13yo),"{'ar': 1, 'en': 2, 'de': 3}","{'ar': 3, 'en': 2, 'de': 1}",{},"{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
99,8th grade (13yo),"{'ar': 1, 'de': 2, 'en': 3}","{'ar': 1, 'de': 2, 'en': 3}",{},"{'ar': 1, 'de': 2, 'en': 3}",ar,de,en
100,9th grade (14yo),"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'en': 3, 'ar': 2}",{},"{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
101,9th grade (14yo),"{'en': 1, 'ar': 2, 'de': 3}","{'en': 2, 'ar': 3, 'de': 1}",{},"{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
102,9th grade (14yo),"{'ar': 1, 'de': 2, 'en': 3}","{'ar': 2, 'de': 1, 'en': 3}",{},"{'ar': 1, 'de': 2, 'en': 3}",ar,de,en
103,10th grade (15yo),"{'de': 1, 'en': 2, 'ar': 3}","{'de': 2, 'en': 1, 'ar': 3}",{},"{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
104,10th grade (15yo),"{'ar': 1, 'en': 2, 'de': 3}","{'ar': 3, 'en': 1, 'de': 2}",{},"{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
105,10th grade (15yo),"{'ar': 1, 'en': 2, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
106,10th grade (15yo),"{'de': 1, 'ar': 2, 'en': 3}","{'de': 1, 'ar': 3, 'en': 2}",{},"{'de': 1, 'ar': 3, 'en': 2}",de,en,ar
107,10th grade (15yo),"{'en': 1, 'ar': 2, 'de': 3}","{'en': 1, 'ar': 3, 'de': 2}",{},"{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
108,2nd grade (7yo),"{'de': 1, 'ar': 2, 'en': 3}","{'de': 1, 'ar': 2, 'en': 3}",{},"{'de': 1, 'ar': 2, 'en': 3}",de,ar,en
109,2nd grade (7yo),"{'en': 1, 'de': 2, 'ar': 3}","{'en': 2, 'de': 1, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
110,2nd grade (7yo),"{'ar': 1, 'de': 2, 'en': 3}","{'ar': 2, 'de': 3, 'en': 1}",{},"{'ar': 1, 'de': 2, 'en': 3}",ar,de,en
111,4th grade (9yo),"{'de': 1, 'ar': 2, 'en': 3}","{'de': 2, 'ar': 3, 'en': 1}",{},"{'de': 1, 'ar': 2, 'en': 3}",de,ar,en
112,4th grade (9yo),"{'en': 1, 'de': 2, 'ar': 3}","{'en': 2, 'de': 1, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
113,4th grade (9yo),"{'en': 1, 'ar': 2, 'de': 3}","{'en': 2, 'ar': 1, 'de': 3}",{},"{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
114,4th grade (9yo),"{'ar': 1, 'de': 2, 'en': 3}","{'ar': 2, 'de': 1, 'en': 3}",{},"{'ar': 1, 'de': 2, 'en': 3}",ar,de,en
115,4th grade (9yo),"{'de': 1, 'ar': 2, 'en': 3}","{'de': 1, 'ar': 2, 'en': 3}",{},"{'de': 1, 'ar': 2, 'en': 3}",de,ar,en
116,4th grade (9yo),"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'ar': 3, 'en': 2}",{},"{'de': 1, 'ar': 2, 'en': 3}",de,en,ar
117,4th grade (9yo),"{'en': 1, 'ar': 2, 'de': 3}","{'en': 1, 'de': 2, 'ar': 3}",{},"{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
118,6th grade (11yo),"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'en': 2, 'ar': 3}",{},"{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
119,6th grade (11yo),"{'ar': 1, 'en': 2, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
120,6th grade (11yo),"{'ar': 1, 'en': 2, 'de': 3}","{'ar': 1, 'en': 3, 'de': 2}",{},"{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
121,6th grade (11yo),"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
122,7th grade (12 yo),"{'de': 1, 'en': 2, 'ar': 3}","{'de': 2, 'en': 1, 'ar': 3}",{},"{'de': 2, 'en': 1, 'ar': 3}",en,de,ar
123,7th grade (12 yo),"{'en': 1, 'de': 2, 'ar': 3}","{'en': 2, 'de': 1, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
124,7th grade (12 yo),"{'de': 1, 'ar': 2, 'en': 3}","{'de': 1, 'ar': 2, 'en': 3}",{},"{'de': 1, 'en': 2, 'ar': 3}",de,ar,en
125,7th grade (12 yo),"{'en': 1, 'de': 2, 'ar': 3}","{'en': 2, 'de': 1, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
126,8th grade (13yo),"{'de': 1, 'ar': 2, 'en': 3}","{'de': 1, 'ar': 2, 'en': 3}",{},"{'de': 1, 'ar': 2, 'en': 3}",de,ar,en
127,8th grade (13yo),"{'de': 1, 'ar': 2, 'en': 3}","{'de': 1, 'ar': 2, 'en': 3}",{},"{'de': 1, 'ar': 3, 'en': 2}",de,ar,en
128,8th grade (13yo),"{'ar': 1, 'de': 2, 'en': 3}","{'ar': 2, 'de': 1, 'en': 3}",{},"{'ar': 1, 'de': 2, 'en': 3}",ar,de,en
129,8th grade (13yo),"{'de': 1, 'ar': 2, 'en': 3}","{'de': 1, 'ar': 2, 'en': 3}",{},"{'de': 1, 'ar': 2, 'en': 3}",de,ar,en
130,9th grade (14yo),"{'en': 1, 'de': 2, 'ar': 3}","{'en': 2, 'de': 1, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
131,9th grade (14yo),"{'ar': 1, 'de': 2, 'en': 3}","{'ar': 1, 'de': 2, 'en': 3}",{},"{'ar': 1, 'de': 2, 'en': 3}",ar,de,en
132,9th grade (14yo),"{'en': 1, 'de': 2, 'ar': 3}","{'en': 3, 'de': 2, 'ar': 1}",{},"{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
133,9th grade (14yo),"{'en': 1, 'de': 2, 'ar': 3}","{'en': 3, 'de': 1, 'ar': 2}",{},"{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
134,10th grade (15yo),"{'ar': 1, 'en': 2, 'de': 3}","{'ar': 2, 'en': 3, 'de': 1}",{},"{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
135,10th grade (15yo),"{'en': 1, 'ar': 2, 'de': 3}","{'en': 1, 'de': 2, 'ar': 3}",{},"{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
136,10th grade (15yo),"{'de': 1, 'ar': 2, 'en': 3}","{'de': 1, 'en': 2, 'ar': 3}",{},"{'de': 1, 'ar': 2, 'en': 3}",de,ar,en
137,2nd grade (7yo),"{'ar': 1, 'en': 2, 'de': 3}","{'ar': 1, 'en': 3, 'de': 2}",{},"{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
138,2nd grade (7yo),"{'de': 1, 'en': 2, 'ar': 3}","{'de': 2, 'en': 3, 'ar': 1}",{},"{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
139,2nd grade (7yo),"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'ar': 2, 'de': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
140,2nd grade (7yo),"{'en': 1, 'ar': 2, 'de': 3}","{'en': 2, 'ar': 1, 'de': 3}",{},"{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
141,4th grade (9yo),"{'en': 1, 'ar': 2, 'de': 3}","{'en': 2, 'ar': 3, 'de': 1}",{},"{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
142,4th grade (9yo),"{'en': 1, 'ar': 2, 'de': 3}","{'en': 1, 'ar': 2, 'de': 3}",{},"{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
143,6th grade (11yo),"{'de': 1, 'ar': 2, 'en': 3}","{'de': 1, 'en': 2, 'ar': 3}",{},"{'de': 1, 'ar': 2, 'en': 3}",de,ar,en
144,6th grade (11yo),"{'de': 1, 'en': 2, 'ar': 3}","{'de': 3, 'en': 1, 'ar': 2}",{},"{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
145,6th grade (11yo),"{'en': 1, 'ar': 2, 'de': 3}","{'en': 1, 'ar': 2, 'de': 3}",{},"{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
146,6th grade (11yo),"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
147,6th grade (11yo),"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
148,6th grade (11yo),"{'en': 1, 'ar': 2, 'de': 3}","{'en': 1, 'ar': 3, 'de': 2}",{},"{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
149,7th grade (12 yo),"{'ar': 1, 'en': 2, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
150,7th grade (12 yo),"{'ar': 1, 'en': 2, 'de': 3}","{'ar': 3, 'en': 2, 'de': 1}",{},"{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
