Exercise Index,Progress Level,gpt-4o-mini Ranking,gemini-2.5-flash Ranking,qwen-plus Ranking,claude-3-5-haiku Ranking,Best,Mid,Worst
59,6th grade (11yo),"{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 1, 'en': 2, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
60,6th grade (11yo),"{'en': 1, 'de': 2, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
61,6th grade (11yo),"{'ar': 1, 'de': 2, 'en': 3}",{},"{'ar': 2, 'de': 3, 'en': 1}","{'ar': 1, 'de': 2, 'en': 3}",ar,de,en
62,6th grade (11yo),"{'en': 1, 'ar': 2, 'de': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
63,7th grade (12 yo),"{'de': 1, 'en': 2, 'ar': 3}",{},"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
64,7th grade (12 yo),"{'de': 1, 'ar': 2, 'en': 3}",{},"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'ar': 2, 'en': 3}",de,ar,en
65,7th grade (12 yo),"{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 1, 'en': 2, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
66,8th grade (13yo),"{'en': 1, 'de': 2, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
67,8th grade (13yo),"{'en': 1, 'de': 2, 'ar': 3}",{},"{'en': 1, 'ar': 2, 'de': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
68,8th grade (13yo),"{'en': 1, 'ar': 2, 'de': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
69,8th grade (13yo),"{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 3, 'en': 1, 'de': 2}","{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
70,8th grade (13yo),"{'de': 1, 'ar': 2, 'en': 3}",{},"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'ar': 2, 'en': 3}",de,ar,en
71,8th grade (13yo),"{'de': 1, 'en': 2, 'ar': 3}",{},"{'de': 3, 'en': 1, 'ar': 2}","{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
72,9th grade (14yo),"{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 1, 'en': 2, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
73,9th grade (14yo),"{'de': 1, 'en': 2, 'ar': 3}",{},"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
74,9th grade (14yo),"{'en': 1, 'ar': 2, 'de': 3}",{},"{'en': 1, 'ar': 2, 'de': 3}","{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
75,9th grade (14yo),"{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 2, 'en': 1, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
76,10th grade (15yo),"{'en': 1, 'de': 2, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
77,10th grade (15yo),"{'en': 1, 'ar': 2, 'de': 3}",{},"{'en': 1, 'ar': 2, 'de': 3}","{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
78,10th grade (15yo),"{'en': 1, 'ar': 2, 'de': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
79,10th grade (15yo),"{'de': 1, 'en': 2, 'ar': 3}",{},"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
80,2nd grade (7yo),"{'de': 1, 'ar': 2, 'en': 3}",{},"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'ar': 2, 'en': 3}",de,ar,en
81,2nd grade (7yo),"{'en': 1, 'ar': 2, 'de': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
82,2nd grade (7yo),"{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 2, 'en': 1, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
83,2nd grade (7yo),"{'de': 1, 'en': 2, 'ar': 3}",{},"{'de': 2, 'en': 1, 'ar': 3}","{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
84,2nd grade (7yo),"{'en': 1, 'de': 2, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
85,4th grade (9yo),"{'ar': 1, 'de': 2, 'en': 3}",{},"{'ar': 3, 'de': 2, 'en': 1}","{'ar': 1, 'de': 2, 'en': 3}",ar,de,en
86,4th grade (9yo),"{'ar': 1, 'de': 2, 'en': 3}",{},"{'ar': 3, 'de': 2, 'en': 1}","{'ar': 1, 'de': 2, 'en': 3}",ar,de,en
87,4th grade (9yo),"{'en': 1, 'ar': 2, 'de': 3}",{},"{'en': 1, 'ar': 2, 'de': 3}","{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
88,6th grade (11yo),"{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 2, 'en': 1, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
89,6th grade (11yo),"{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 2, 'en': 1, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
90,6th grade (11yo),"{'en': 1, 'ar': 2, 'de': 3}",{},"{'en': 1, 'ar': 2, 'de': 3}","{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
91,6th grade (11yo),"{'en': 1, 'de': 2, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
92,6th grade (11yo),"{'de': 1, 'ar': 2, 'en': 3}",{},"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'ar': 2, 'en': 3}",de,ar,en
93,7th grade (12 yo),"{'ar': 1, 'de': 2, 'en': 3}",{},"{'ar': 3, 'de': 2, 'en': 1}","{'ar': 1, 'en': 2, 'de': 3}",ar,de,TIE
94,7th grade (12 yo),"{'de': 1, 'en': 2, 'ar': 3}",{},"{'de': 2, 'ar': 3, 'en': 1}","{'de': 1, 'ar': 3, 'en': 2}",de,en,ar
95,7th grade (12 yo),"{'de': 1, 'ar': 2, 'en': 3}",{},"{'de': 3, 'ar': 2, 'en': 1}","{'de': 2, 'ar': 3, 'en': 1}",en,ar,TIE
96,8th grade (13yo),"{'ar': 1, 'de': 2, 'en': 3}",{},"{'ar': 3, 'de': 2, 'en': 1}","{'ar': 1, 'de': 2, 'en': 3}",ar,de,en
97,8th grade (13yo),"{'de': 1, 'en': 2, 'ar': 3}",{},"{'de': 3, 'en': 1, 'ar': 2}","{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
98,8th grade (13yo),"{'de': 1, 'en': 2, 'ar': 3}",{},"{'de': 3, 'en': 1, 'ar': 2}","{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
99,8th grade (13yo),"{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 2, 'en': 1, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
100,9th grade (14yo),"{'en': 1, 'de': 2, 'ar': 3}",{},"{'en': 1, 'ar': 2, 'de': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
101,9th grade (14yo),"{'de': 1, 'ar': 2, 'en': 3}",{},"{'de': 2, 'ar': 3, 'en': 1}","{'de': 1, 'ar': 2, 'en': 3}",de,ar,en
102,9th grade (14yo),"{'ar': 1, 'de': 2, 'en': 3}",{},"{'ar': 3, 'de': 2, 'en': 1}","{'ar': 2, 'de': 3, 'en': 1}",en,de,TIE
103,10th grade (15yo),"{'en': 1, 'ar': 2, 'de': 3}",{},"{'en': 2, 'ar': 1, 'de': 3}","{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
104,10th grade (15yo),"{'ar': 1, 'de': 2, 'en': 3}",{},"{'ar': 2, 'de': 3, 'en': 1}","{'ar': 1, 'en': 2, 'de': 3}",ar,TIE,de
105,10th grade (15yo),"{'ar': 1, 'de': 2, 'en': 3}",{},"{'ar': 2, 'de': 3, 'en': 1}","{'ar': 1, 'de': 2, 'en': 3}",ar,de,en
106,10th grade (15yo),"{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 3, 'en': 1, 'de': 2}","{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
107,10th grade (15yo),"{'en': 1, 'ar': 2, 'de': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
108,2nd grade (7yo),"{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 2, 'en': 1, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
109,2nd grade (7yo),"{'ar': 1, 'de': 2, 'en': 3}",{},"{'ar': 3, 'de': 1, 'en': 2}","{'ar': 1, 'de': 2, 'en': 3}",ar,de,en
110,2nd grade (7yo),"{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 2, 'en': 1, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
111,4th grade (9yo),"{'de': 1, 'ar': 2, 'en': 3}",{},"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
112,4th grade (9yo),"{'en': 1, 'de': 2, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
113,4th grade (9yo),"{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 2, 'en': 1, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
114,4th grade (9yo),"{'en': 1, 'ar': 2, 'de': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
115,4th grade (9yo),"{'de': 1, 'ar': 2, 'en': 3}",{},"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'ar': 2, 'en': 3}",de,ar,en
116,4th grade (9yo),"{'de': 1, 'en': 2, 'ar': 3}",{},"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
117,4th grade (9yo),"{'en': 1, 'de': 2, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
118,6th grade (11yo),"{'en': 1, 'ar': 2, 'de': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
119,6th grade (11yo),"{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 2, 'en': 1, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
120,6th grade (11yo),"{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 2, 'en': 1, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
121,6th grade (11yo),"{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 2, 'en': 1, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
122,7th grade (12 yo),"{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 3, 'en': 1, 'de': 2}","{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
123,7th grade (12 yo),"{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 2, 'en': 1, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
124,7th grade (12 yo),"{'ar': 2, 'de': 1, 'en': 3}",{},"{'ar': 3, 'de': 2, 'en': 1}","{'ar': 1, 'de': 2, 'en': 3}",TIE,de,en
125,7th grade (12 yo),"{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 3, 'en': 1, 'de': 2}","{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
126,8th grade (13yo),"{'en': 1, 'de': 2, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
127,8th grade (13yo),"{'en': 1, 'de': 2, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
128,8th grade (13yo),"{'en': 1, 'de': 2, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
129,8th grade (13yo),"{'de': 1, 'en': 2, 'ar': 3}",{},"{'de': 3, 'en': 1, 'ar': 2}","{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
130,9th grade (14yo),"{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 1, 'en': 2, 'de': 3}","{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
131,9th grade (14yo),"{'de': 1, 'en': 2, 'ar': 3}",{},"{'de': 1, 'en': 2, 'ar': 3}","{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
132,9th grade (14yo),"{'en': 1, 'de': 2, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
133,9th grade (14yo),"{'ar': 1, 'de': 2, 'en': 3}",{},"{'ar': 2, 'de': 3, 'en': 1}","{'ar': 1, 'de': 2, 'en': 3}",ar,de,en
134,10th grade (15yo),"{'en': 1, 'ar': 2, 'de': 3}",{},"{'en': 1, 'ar': 2, 'de': 3}","{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
135,10th grade (15yo),"{'en': 1, 'de': 2, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
136,10th grade (15yo),"{'de': 1, 'en': 2, 'ar': 3}",{},"{'de': 3, 'ar': 2, 'en': 1}","{'de': 1, 'ar': 2, 'en': 3}",de,ar,TIE
137,2nd grade (7yo),"{'ar': 1, 'de': 2, 'en': 3}",{},"{'ar': 2, 'de': 3, 'en': 1}","{'ar': 1, 'de': 2, 'en': 3}",ar,de,en
138,2nd grade (7yo),"{'ar': 1, 'de': 2, 'en': 3}",{},"{'ar': 1, 'de': 3, 'en': 2}","{'ar': 1, 'de': 3, 'en': 2}",ar,en,de
139,2nd grade (7yo),"{'ar': 1, 'de': 2, 'en': 3}",{},"{'ar': 1, 'de': 2, 'en': 3}","{'ar': 1, 'de': 2, 'en': 3}",ar,de,en
140,2nd grade (7yo),"{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 1, 'en': 2, 'de': 3}","{'ar': 2, 'en': 1, 'de': 3}",ar,en,de
141,4th grade (9yo),"{'en': 1, 'de': 2, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
142,4th grade (9yo),"{'ar': 1, 'en': 2, 'de': 3}",{},"{'ar': 3, 'en': 1, 'de': 2}","{'ar': 1, 'en': 2, 'de': 3}",ar,en,de
143,6th grade (11yo),"{'en': 1, 'ar': 2, 'de': 3}",{},"{'en': 1, 'ar': 2, 'de': 3}","{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
144,6th grade (11yo),"{'en': 1, 'ar': 2, 'de': 3}",{},"{'en': 1, 'ar': 2, 'de': 3}","{'en': 1, 'ar': 2, 'de': 3}",en,ar,de
145,6th grade (11yo),"{'de': 1, 'en': 2, 'ar': 3}",{},"{'de': 2, 'en': 1, 'ar': 3}","{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
146,6th grade (11yo),"{'de': 1, 'en': 2, 'ar': 3}",{},"{'de': 2, 'en': 1, 'ar': 3}","{'de': 1, 'en': 2, 'ar': 3}",de,en,ar
147,6th grade (11yo),"{'en': 1, 'de': 2, 'ar': 3}",{},"{'en': 1, 'de': 2, 'ar': 3}","{'en': 1, 'de': 2, 'ar': 3}",en,de,ar
148,6th grade (11yo),"{'ar': 1, 'de': 2, 'en': 3}",{},"{'ar': 3, 'de': 2, 'en': 1}","{'ar': 1, 'de': 2, 'en': 3}",ar,de,en
149,7th grade (12 yo),"{'de': 1, 'ar': 2, 'en': 3}",{},"{'de': 1, 'ar': 2, 'en': 3}","{'de': 1, 'ar': 2, 'en': 3}",de,ar,en
150,7th grade (12 yo),"{'ar': 1, 'de': 2, 'en': 3}",{},"{'ar': 3, 'de': 2, 'en': 1}","{'ar': 2, 'de': 3, 'en': 1}",en,de,TIE
