"Topic Area","Topic","Progress Level","Exercise","Technical Terms"
"Numbers and operations","Expanding number relationships and number spaces","E","Berechne den größten gemeinsamen Teiler (ggT) von 20 und 30, um ihren größten gemeinsamen Faktor zu verstehen.","Größter gemeinsamer Teiler (ggT)
größter gemeinsamer Faktor
Teiler
Faktor
Euklidischer Algorithmus (optional, depending on the solution method)
Primfaktorzerlegung (optional, depending on the solution method)"
"Numbers and operations","Expanding number relationships and number spaces","E","Ein Gärtner möchte Blumen in Reihen pflanzen, und zwar mit 18 roten Blumen und 24 blauen Blumen. Was ist das kleinste gemeinsame Vielfache (kgV) von 18 und 24, um die kleinste Gesamtzahl an Blumen zu finden, die er verwenden kann, ohne dass Reste übrig bleiben?","* größter gemeinsamer Teiler (ggT)
* kleinstes gemeinsames Vielfaches (kgV)"
"Numbers and operations","Expanding number relationships and number spaces","F","Berechne den Wert von 3 hoch 4 und ziehe dann die Quadratwurzel von 64 von diesem Ergebnis ab.","Hoch, Quadratwurzel, Ergebnis, subtrahieren"
"Numbers and operations","Expanding number relationships and number spaces","F","Wenn die Fläche eines quadratischen Gartens 81 Quadratfuß beträgt, finde die Länge einer Seite des Gartens.","Fläche, Quadrat, Quadratfuß, Seitenlänge"
"Numbers and operations","Expanding number relationships and number spaces","F","Bestimme die Summe der Werte, die durch das Ziehen der Quadratwurzel von 49 und das Erheben von 2 in die Potenz von 5 erhalten werden.","Quadratwurzel, Potenz"
"Numbers and operations","Expanding number relationships and number spaces","G","Ein Modell eines Wolkenkratzers wird im Maßstab 1:250 gebaut. Wenn die tatsächliche Höhe des Wolkenkratzers 300 Meter beträgt, wie hoch ist das Modell in Zentimetern?","Maßstab
Höhe
Zentimeter
Meter
Umrechnung"
"Numbers and operations","Expanding number relationships and number spaces","G","Ein Rezept für einen großen Kuchen benötigt 3 Tassen Mehl für jede 2 Tassen Zucker; wenn ein Bäcker 6 Tassen Mehl verwenden möchte, wie viele Tassen Zucker benötigt er dann?","Verhältnis, Proportion"
"Numbers and operations","Expanding number relationships and number spaces","G","Eine Karte verwendet einen Maßstab, bei dem 1 Zoll 30 Meilen entspricht; wenn zwei Städte auf der Karte 5 Zoll voneinander entfernt sind, wie groß ist die tatsächliche Entfernung zwischen ihnen in Meilen?","Maßstab, Entfernung"
"Numbers and operations","Applying calculation strategies","D","Eine lokale Buchhandlung hat letzten Monat 237 Bücher und diesen Monat 185 Bücher verkauft; schätze die Gesamtzahl der verkauften Bücher, indem du auf die nächstgelegene Zehnerstelle rundest.","Runden
Zehnerstelle
Schätzen
Gesamtzahl"
"Numbers and operations","Applying calculation strategies","D","Ein Bauer hat 489 Äpfel und plant, 275 Äpfel zu verschenken; schätze, wie viele Äpfel er übrig haben wird, indem du auf die nächstliegende Zehnerstelle rundest.","Runden
Zehnerstelle
Schätzen
Subtraktion"
"Numbers and operations","Applying calculation strategies","D","Während einer Schulspendenaktion sammelten die Schüler 1248 $ und gaben 673 $ aus; schätzen Sie den insgesamt verbleibenden Betrag, indem Sie auf die nächste Zehnerstelle runden.","Runden
Zehnerstelle
Schätzen
Subtraktion"
"Numbers and operations","Applying calculation strategies","E","Jenna hat \(\frac{2}{3}\) einer Pizza und ihre Freundin gibt ihr \(\frac{1}{4}\) einer Pizza; wie viel Pizza hat Jenna jetzt?","Bruchrechnung, Addition von Brüchen, gemeinsamer Nenner"
"Numbers and operations","Applying calculation strategies","E","Ein Rezept benötigt \(\frac{5}{6}\) Tasse Zucker, aber Jerry hat nur \(\frac{1}{3}\) Tasse; wie viel mehr Zucker muss er sammeln?","Bruchrechnung, Subtraktion von Brüchen, gemeinsamer Nenner"
