Topic Area,Topic,Progress Level,Exercise
Numbers and Operations,Understanding and performing operations,E,استخدم خاصية التبادلية لتبسيط: (س + ٥) + ٧
Numbers and Operations,Understanding and performing operations,E,قميص ثمنه 40 دينار معروض للبيع بخصم نسبته 25%. ما قيمة الخصم؟
Numbers and Operations,Understanding and performing operations,E,فاتورة مطعم تبلغ 72 دينار. ما هو المبلغ المُستَحق عن 10% كإكرامية؟
Numbers and Operations,Understanding and performing operations,F,اجمع: (–3/4) + (2/5)
Numbers and Operations,Understanding and performing operations,F,قم بحساب: 3(2 + 5) - 4(1 - 2)
Numbers and Operations,Understanding and performing operations,F,اكتب الناتج في أبسط صورة: (–4)² + 3³ – 5²
Numbers and Operations,Understanding and performing operations,F,اكتب الناتج في أبسط صورة: [(4/5) + (1/2)] ÷ (3/10)
Numbers and Operations,Understanding and performing operations,F,ما قيمة –√36؟
Numbers and Operations,Understanding and performing operations,F,اضرب: (–0.6) × (–2.5)
Numbers and Operations,Understanding and performing operations,G,باستخدام قواعد الأسس، اكتب الناتج في أبسط صورة 3² × 3⁴.
Numbers and Operations,Understanding and performing operations,G,اكتب الناتج في أبسط صورة: (2س⁵)³
Numbers and Operations,Understanding and performing operations,G,اضرب و اختصر: (3س²/2ص)(4ص²/9س)
Numbers and Operations,Understanding and performing operations,G,قم بتبسيط الكسر الآتي بتحويل المقام إلى عدد نسبي: 3 / √5
Numbers and Operations,Understanding and performing operations,H,اكتب الناتج في أبسط صورة: (2س² − 8)⁄(س² − 4)
Numbers and Operations,Understanding and performing operations,H,اكتب الناتج في أبسط صورة: (5√12 + 3√27)⁄√3
Numbers and Operations,Understanding and performing operations,H,قم بتوسيع وتبسيط (أ + ب + ج)²
Numbers and Operations,Understanding and performing operations,H,احسب الباقي عند قسمة 2⁵ على 7
Numbers and Operations,Ordering numbers,B,رتب الأعداد التالية من الأصغر إلى الأكبر: 42، 15، 37
Numbers and Operations,Ordering numbers,B,ضع دائرة حول أكبر عدد: 63، 56، 61
Numbers and Operations,Ordering numbers,B,رتب الأعداد التالية من الأصغر إلى الأكبر: 100، 10، 50
Numbers and Operations,Ordering numbers,B,أي رقم لا ينتمي إلى المجموعة؟ 41، 43، 46، 45
Numbers and Operations,Ordering numbers,B,ضع دائرة حول الأعداد المرتّبة ترتيبًا صحيحًا: أ) 34، 36، 35 ب) 22، 24، 26
Numbers and Operations,Ordering numbers,C,قم بترتيب هذه الأعداد من الأصغر إلى الأكبر: ٤،٢٠٩؛ ٣،٨٩٢؛ ٤،١٠٢
Numbers and Operations,Ordering numbers,C,رتب الأعداد التالية بشكل تنازلي: ٥٬٠٠٠؛ ٥٬٣٠٠؛ ٤٬٩٠٠؛ ٥٬١٠٠
Numbers and Operations,Ordering numbers,C,املأ الفراغ: ٢٣٤٥ < ___ < ٢٧٨٩
Numbers and Operations,Ordering numbers,D,قُم بتقريب العدد 345.67 إلى أقرب عدد صحيح أو إلى أقرب عشري.
Numbers and Operations,Ordering numbers,D,ضع الأعداد التالية على الخط الرقمي: -1، ½، 0.25، -0.75
Numbers and Operations,Ordering numbers,D,رتب الأعداد التالية من الأكبر إلى الأصغر: -5، 7، -2، -8، 0
Numbers and Operations,Ordering numbers,D,أكمل الفراغ: ___ < 0.5 < ¾
Numbers and Operations,Ordering numbers,D,رتب الكسور التالية: 5/6، 2/3، 3/4
Numbers and Operations,Ordering numbers,E,رتب الأعداد التالية تنازلياً: ¾، 0.66، ⅔
Numbers and Operations,Ordering numbers,E,قُم بتقريب المبالغ التالية إلى أقرب دينار كامل: ١٣.٧٨ دينار، ١٣.٢١ دينار، و ١٣.٥٠ دينار، ثم رتبها من الأقل إلى الأكثر.
Numbers and Operations,Ordering numbers,E,قم بترتيب الأعداد التالية: 3/4، 0.79، 76%
Numbers and Operations,Ordering numbers,F,قارن: ٣² ___ ٢³
Numbers and Operations,Ordering numbers,F,حدد موقع الأعداد التالية على خط الأعداد: π، 3.14، √10
Numbers and Operations,Ordering numbers,F,صحيح أم خطأ: √3 > 1.7
Numbers and Operations,Ordering numbers,F,رتب الأعداد التالية من الأكبر إلى الأصغر: √11، 3.3، 10/3
Numbers and Operations,Ordering numbers,G,حدد ما إذا كانت العبارة x < y < z صحيحة حيث أن x = 0.66، و y = 2/3، و z = 67%.
Numbers and Operations,Ordering numbers,G,اكتب متباينة تقارن بين x = -3، y = 1، z = 4.
Numbers and Operations,Ordering numbers,G,رتب الأعداد التالية من الأكبر إلى الأصغر: 4²، 2⁴، و16
Numbers and Operations,Ordering numbers,H,رتب الأعداد 2i و 3 + 2i و 3 - i حسب المقدار.
Numbers and Operations,Ordering numbers,H,قم بترتيب الأعداد المركبة: i، −1 + i، 2i بناءً على القيمة المطلقة.
Numbers and Operations,Ordering numbers,H,رتّب القيم التالية: لو₂ (3)، لو₃ (2)، لو₅ (5).
Numbers and Operations,Ordering numbers,H,قم بتحديد الجذور التكعبية لـ 5 و 6 والعدد 2 على خط الأعداد.
Numbers and Operations,Ordering numbers,H,رتب الأعداد التالية: 0b1010، 0xF، 13 (ثنائي، ست عشري، عشري)
Numbers and Operations,Applying Calculation Strategies,B,استخدم خط الأعداد لإيجاد ناتج 9 + 6 = ______
Numbers and Operations,Applying Calculation Strategies,B,حل المسألة التالية عن طريق جمع العشرات والآحاد: 27 + 35
Numbers and Operations,Applying Calculation Strategies,B,أظهر ناتج جمع العددين التاليين عن طريق تقريب إلى أقرب عشرة: 46 + 9
Numbers and Operations,Applying Calculation Strategies,C,ما هي الاستراتيجية التي ستستخدمها لحل المسألة 400 − 198 بسرعة؟
Numbers and Operations,Applying Calculation Strategies,C,ما هو تقدير جيد للعدد 612 ÷ 9؟
Numbers and Operations,Applying Calculation Strategies,C,استخدم الجمع المتكرر لإيجاد ناتج 7 × 6 = ___
Numbers and Operations,Applying Calculation Strategies,C,استخدم استراتيجية المضاعفة والتقليل للنصف: 25 × 8 = ___
Numbers and Operations,Applying Calculation Strategies,C,ما الخطوتان اللتان ستستخدمهما لحل 75 × 12؟
Numbers and Operations,Applying Calculation Strategies,C,استخدم التقدير عن طريق التقريب: 51 × 19، ثم تحقق من الإجابة.
Numbers and Operations,Applying Calculation Strategies,C,استخدم خاصية التوزيع لتسهيل عملية الضرب: 23 × 4 = ___
Numbers and Operations,Applying Calculation Strategies,D,قدر ناتج ضرب 398 في 52 من خلال تقريب كلا العددين، ثم احسب الناتج الدقيق للتحقق.
Numbers and Operations,Applying Calculation Strategies,D,اطرح: −15 − (−8)
Numbers and Operations,Applying Calculation Strategies,D,طبق ترتيب العمليات: 6 + 3 × (8 − 5)²
Numbers and Operations,Applying Calculation Strategies,D,استخدم القسمة المطولة لحل: ٣٦٧٢ ÷ ١٦
Numbers and Operations,Applying Calculation Strategies,E,سعر سترة هو ٨٠ دينار، وقد تم تخفيض سعرها بنسبة ٢٥٪، ثم تم إضافة ضريبة قدرها ١٠٪. ما هو السعر النهائي؟
Numbers and Operations,Applying Calculation Strategies,E,قدّر التكلفة الإجمالية لمبالغ ٧.٨٥ دينار، ١٢.٤٩ دينار، و٤.٣٠ دينار عن طريق تقريبها لأقرب دينار.
Numbers and Operations,Applying Calculation Strategies,E,جهاز لابتوب كان سعره في الأصل ٨٥٠ دينار، وتم خصم ٢٠٪ من السعر. بعد ذلك، تم استخدام قسيمة بقيمة ٥٠ دينار. ما السعر النهائي؟
Numbers and Operations,Applying Calculation Strategies,E,استخدم التعويض لحل المسألة بسرعة: 199 + 68
Numbers and Operations,Applying Calculation Strategies,F,استخدم تحليل الأعداد الأولية لإيجاد القاسم المشترك الأكبر للأعداد 36 و 60.
Numbers and Operations,Applying Calculation Strategies,F,أوجد المضاعف المشترك الأصغر للعددين 18 و 24 باستخدام العوامل الأولية.
Numbers and Operations,Applying Calculation Strategies,F,احسب القيمة: (2² × 3³) ÷ (2 × 3²)
Numbers and Operations,Applying Calculation Strategies,F,استخدم قوى العدد ١٠: ما ناتج ٣٫٢٦ × ١٠٠٠؟
Numbers and Operations,Applying Calculation Strategies,G,استخدم قواعد الأس للتبسيط ((3x⁻²)/(x³))²
Numbers and Operations,Applying Calculation Strategies,G,حدد أيهما أفضل لحساب 5/6 ÷ 2/3: الضرب في المعكوس أو القسمة الطويلة؟
Numbers and Operations,Applying Calculation Strategies,G,قرب قيمة الجذر التربيعي لـ 17 باستخدام المربعات الكاملة القريبة.
Numbers and Operations,Applying Calculation Strategies,G,استخدم فرق المربعين لتبسيط 100² - 99².
Numbers and Operations,Applying Calculation Strategies,H,استخدم العلاقة a² − b² لحساب 102² − 98²
Numbers and Operations,Applying Calculation Strategies,H,ما هو اليوم الذي يأتي بعد ١٠٠ يوم من يوم الأربعاء؟ باستخدام حساب المود.
Numbers and Operations,Applying Calculation Strategies,H,استخدم مفكوك ذات الحدين لتقدير (1.01)²
Geometry,spatial orientation and positional relationships,B,حدد اليسار واليمين في فصلك الدراسي.
Geometry,spatial orientation and positional relationships,B,"قم برسم مثلث داخل المستطيل."
Geometry,spatial orientation and positional relationships,B,قم بتلوين الشكل الثالث من اليمين.
Geometry,spatial orientation and positional relationships,B,ضع علامة (X) في الزاوية السفلية اليسرى من الورقة.
Geometry,spatial orientation and positional relationships,C,إذا كان الروبوت متجهًا إلى الشمال ثم استدار 90 درجة إلى اليمين، فما الاتجاه الذي يواجهه الآن؟
Geometry,spatial orientation and positional relationships,C,إذا قمت بتدوير السهم بزاوية 180°، إلى أين سيتجه؟
Geometry,spatial orientation and positional relationships,D,ما الاتجاه الناتج عن دوران بزاوية ٩٠ درجة في اتجاه عقارب الساعة من جهة الشمال؟
Geometry,spatial orientation and positional relationships,D,"في أي ربع تقع النقطة (−3, 4)؟"
Geometry,spatial orientation and positional relationships,D,"إذا كانت النقطة ب تقع عند (2, 3)، ما هي إحداثياتها الجديدة بعد التحرك 4 وحدات إلى الأسفل؟"
Geometry,spatial orientation and positional relationships,D,تقع مدينة على بُعد 3 سم شرق المطار في الخريطة. كم يبعد ذلك بالكيلومترات إذا كانت النسبة المستخدمة هي 1 سم = 10 كم؟
Geometry,spatial orientation and positional relationships,D,على الخريطة، تقع المدرسة في المنتصف وتقع المكتبة في الاتجاه الشمالي الشرقي من المدرسة. ما الاتجاهان اللذان يصفان هذه الحركة؟
Geometry,spatial orientation and positional relationships,D,سافرت ٢٠ كيلومترًا نحو الجنوب، ثم ١٥ كيلومترًا نحو الشرق. ما الاتجاه العام لحركتك؟
Geometry,spatial orientation and positional relationships,E,صف تأثير النقل (س، ص) → (س + 2، ص − 3)
Geometry,spatial orientation and positional relationships,E,يتحرك روبوت توصيل من النقطة (0، 0) إلى النقطة (4، 0)، ثم يتجه إلى النقطة (4، 3). ما هي الإحداثيات بعد الحركتين؟
Geometry,spatial orientation and positional relationships,E,على شبكة المدينة، تبدأ سيارة أجرة من النقطة (٣، ٣) وتتبع المسار التالي: يسار بمقدار ٢ مربع، ثم للأعلى ١، ثم يمين ٥، ثم للأسفل ٤. أين تنتهي؟
Geometry,spatial orientation and positional relationships,E,صف التحويلالتالي: (س، ص) → (–س، ص)
Geometry,spatial orientation and positional relationships,F,نقطة تتحرك من النقطة أ(2، 3) إلى النقطة ب(7، -2). عبر عن هذه الحركة كمتجه.
Geometry,spatial orientation and positional relationships,F,احسب نقطة المنتصف للقطاع الذي يصل بين نقطتين (4، -1) و(-2، 5).
Geometry,spatial orientation and positional relationships,F,إذا تحرك روبوت وفقًا للمتجه ⟨3، –4⟩ من النقطة (1، 2)، إلى أين سيصل؟
Geometry,spatial orientation and positional relationships,F,تحلق طائرة مسيرة 4 وحدات نحو الشمال، ثم 3 وحدات نحو الغرب. ما هو متجه الإزاحة الخاص بها؟
Geometry,spatial orientation and positional relationships,F,قم بتدوير المتجه ⟨2، 1⟩ بزاوية 90 درجة عكس اتجاه عقارب الساعة. ما هو المتجه الجديد؟
Geometry,spatial orientation and positional relationships,G,حدد إحداثيات النقطة ب بعد تدوير النقطة أ(2، 3) بزاوية 90° مع اتجاه عقارب الساعة حول نقطة الأصل.
Geometry,spatial orientation and positional relationships,G,"اشرح كيف يمكن الانتقال من النقطة أ(0,0,0) إلى النقطة ب(3,2,5) في الفضاء ثلاثي الأبعاد."
Geometry,spatial orientation and positional relationships,G,"حدد ما إذا كانت المثلث أ ب ج الذي له النقاط أ(1,1) و ب(3,4) و ج(5,7) مثلثًا قائم الزاوية."
Geometry,spatial orientation and positional relationships,G,"نقطة تبعد 2 وحدة عن كل من النقطة أ(2,3) والنقطة ب(6,3). صف المواقع الممكنة لهذه النقطة."
Geometry,spatial orientation and positional relationships,H,مثل قطر المكعب كمتجه في الفضاء الثلاثي الأبعاد إذا كانت رؤوسه عند (0،0،0) و (1،1،1).
Geometry,spatial orientation and positional relationships,H,"حدد الزاوية بين متجهين ثلاثي الأبعاد: v₁ = (1,2,3) و v₂ = (4,−1,0)"
Geometry,spatial orientation and positional relationships,H,جد إحداثيات نقطة بعد تدويرها بزاوية 90 درجة حول محور z في الفضاء الثلاثي الأبعاد.
Geometry,spatial orientation and positional relationships,H,صف خط تقاطع المستويين x + y + z = 3 و x − y = 1.
Geometry,spatial orientation and positional relationships,H,"احسب إسقاط المتجه v = (3, 4, 0) على المتجه u = (1, 0, 0)"
Geometry,spatial orientation and positional relationships,H,"احسب متجهًا عموديًا على المتجهين (1,2,3) و(4,5,6)."
Geometry,properties and relationships of figures and solids,B,كم عدد الزوايا التي يمتلكها المثلث؟
Geometry,properties and relationships of figures and solids,B,أي شكل لا يحتوي على أضلاع مستقيمة؟
Geometry,properties and relationships of figures and solids,B,ما الفرق بين المربع والمستطيل؟
Geometry,properties and relationships of figures and solids,B,ارسم شكلاً له ثلاث زوايا وثلاثة أضلاع.
Geometry,properties and relationships of figures and solids,B,اذكر شكلين لهما أضلاع مستقيمة فقط.
Geometry,properties and relationships of figures and solids,C,كم عدد الأضلاع التي يمتلكها المضلع السداسي؟
Geometry,properties and relationships of figures and solids,C,كم عدد الحواف في مكعب؟
Geometry,properties and relationships of figures and solids,C,صح أم خطأ: المستطيل دائماً يعتبر متوازي أضلاع.
Geometry,properties and relationships of figures and solids,C,حدد الشكل الذي ليس مضلعًا: مثلث، مربع، دائرة
Geometry,properties and relationships of figures and solids,C,أي شكل له أضلاع متقابلة متساوية ومتوازية؟
Geometry,properties and relationships of figures and solids,C,ارسم شكلًا رباعيًّا ليس مربعًا.
Geometry,properties and relationships of figures and solids,D,هل يمكن أن يكون للمثلث زاويتان منفرجتان؟ ولماذا؟
Geometry,properties and relationships of figures and solids,D,كم عدد الرؤوس في هرم ثلاثي الأبعاد؟
Geometry,properties and relationships of figures and solids,D,احسب مجموع الزوايا الداخلية لشكل خماسي.
Geometry,properties and relationships of figures and solids,D,احسب الزاوية المفقودة: مثلث له زاويتان قياسهما 45° و70°.
Geometry,properties and relationships of figures and solids,E,مثلث زواياه 40° و65°. ما هي الزاوية الثالثة؟
Geometry,properties and relationships of figures and solids,E,مثلث أطوال أضلاعه 6 سم، 6 سم، و4 سم. صنف هذا المثلث بناءً على أطوال أضلاعه.
Geometry,properties and relationships of figures and solids,E,شكل رباعي يحتوي على ثلاث زوايا قياسها 90°، 85°، و 95°. ما قياس الزاوية الرابعة؟
Geometry,properties and relationships of figures and solids,E,احسب مجموع زوايا الشكل السداسي الداخلي.
Geometry,properties and relationships of figures and solids,F,اشرح لماذا يعتبر المربع مستطيلًا ومعينًا في نفس الوقت.
Geometry,properties and relationships of figures and solids,F,حدد ما إذا كان مثلثًا بأضلاع طولها 5 سم، 7 سم، و11 سم حاد الزوايا، قائم الزاوية، أو منفرج الزاوية.
Geometry,properties and relationships of figures and solids,F,قارن حجم المكعب الذي طول ضلعه 4 سم بحجم متوازي المستطيلات الذي أبعاده 4 سم × 4 سم × 2 سم.
Geometry,properties and relationships of figures and solids,F,قارن بين المساحة السطحية لمكعب وكرة لهما نفس الحجم.
Geometry,properties and relationships of figures and solids,G,صف المقطع العرضي الناتج عن قطع الأسطوانة عموديًا.
Geometry,properties and relationships of figures and solids,G,استخدم صيغة أويلر لمنشور له 9 أوجه.
Geometry,properties and relationships of figures and solids,G,حدد نوع الرباعي الذي تتقاطع فيه الأقطار عند منتصفها بزاوية قائمة.
Geometry,properties and relationships of figures and solids,G,مثلث له أضلاع بطول 5 سم و 12 سم، وزاوية بينهما مقدارها 60°؛ استخدم قانون قانون جيب التمام لحساب مساحة المثلث.
Geometry,properties and relationships of figures and solids,H,أثبت أن الزوايا المتقابلة في رباعي دائري تكون مجموعها 180 درجة.
Geometry,properties and relationships of figures and solids,H,"لديك أربع نقاط في الفضاء ثلاثي الأبعاد: أ(1, 2, 3)، ب(4, 5, 6)، ج(7, 8, 9) ود(10, 11, 12). حدد ما إذا كانت هذه النقاط الأربعة تقع على نفس المستوى."
Geometry,properties and relationships of figures and solids,H,أثبت أن مركز الثقل في المثلث يقسم كل متوسط بنسبة ٢:١ باستخدام الإحداثيات.
Geometry,Designs and Drawings,B,ارسم مربعًا وقم بتقسيمه إلى 4 أجزاء متساوية.
Geometry,Designs and Drawings,B,استخدم المسطرة لرسم مثلث له ثلاثة أضلاع مستقيمة.
Geometry,Designs and Drawings,B,استخدم المسطرة لرسم خط مستقيم طوله 6 سم.
Geometry,Designs and Drawings,B,أي من الأشكال التالية يمكنك رسمه باستخدام خطوط مستقيمة فقط؟
Geometry,Designs and Drawings,C,ارسم مثلثًا يحتوي على زاوية قائمة.
Geometry,Designs and Drawings,C,استخدم المنقلة لرسم زاوية مقدارها 45 درجة.
Geometry,Designs and Drawings,C,قم برسم مكعب باستخدام خطوط منقطة لتمثيل الحواف المخفية.
Geometry,Designs and Drawings,C,ارسم مثلثًا وسمِّ رؤوسه أ ب ج.
Geometry,Designs and Drawings,D,ارسم مثلثًا زواياه 40° و60° و80° باستخدام المناقلة.
Geometry,Designs and Drawings,D,استخدم المسطرة والمنقلة لقياس الزاوية المعطاة وقسمها إلى نصفين متساويين.
Geometry,Designs and Drawings,D,استخدم المسطرة والمنقلة لرسم سداسي منتظم.
Geometry,Designs and Drawings,D,ارسم مثلثًا أطوال أضلاعه 4 سم، 4 سم، و6 سم — ما نوع هذا المثلث؟
Geometry,Designs and Drawings,E,قم ببناء زاوية قائمة تبلغ 90° باستخدام المنقلة والمسطرة فقط.
Geometry,Designs and Drawings,E,قم برسم خط موازي لخط معين من خلال نقطة لا تقع على هذا الخط.
Geometry,Designs and Drawings,E,استخدم شبكة الإحداثيات لرسم مثلث ثم اعكسه حول محور السينات.
Geometry,Designs and Drawings,E,استخدم المنقلة والمسطرة لرسم دائرة داخل مثلث.
Geometry,Designs and Drawings,E,باستخدام المسطرة والمنقلة: ارسم متوازي أضلاع بحيث يكون AB = ٦ سم، وAD = ٤ سم، والزاوية ∠DAB = ٦٠°.
Geometry,Designs and Drawings,E,ارسم دائرة وحدد مركزها، ونصف قطرها، وقطرها، ووترا.
Geometry,Designs and Drawings,F,على شبكة الإحداثيات، ارسم متوازي أضلاع إذا كانت ثلاث من رؤوسه هي: أ(1،1)، ب(4،1)، ج(5،3)
Geometry,Designs and Drawings,F,ارسم مثلثاً بأضلاع طولها 5 سم، 7 سم، و8 سم باستخدام المسطرة والمنقلة فقط.
Geometry,Designs and Drawings,F,قم برسم مثلث باستخدام مقياس بحيث تكون أطوال أضلاعه بنسبة 3:4:5.
Geometry,Designs and Drawings,G,ارسم الدائرة المحيطة بالمثلث المعطى.
Geometry,Designs and Drawings,G,ارسم مثلثًا بحيث تكون الزاويتان ∠س = ٤٠° و∠ص = ٦٥°، وطول الضلع المحصور بينهما س ص = ٧ سم.
Geometry,Designs and Drawings,G,استخدم مفهوم المكان الهندسي لإنشاء المنطقة التي تبعد مسافة متساوية عن النقطتين أ(٢،٣) وب(٨،٣).
Geometry,Designs and Drawings,H,استخدم المنقلة لتقسيم الدائرة إلى 6 أقواس متساوية.
Geometry,Designs and Drawings,H,ارسم قاطع الزاوية للزاوية ∠أ ب ج وضع علامة عند نقطة تقاطع القاطع مع أحد الأضلاع.
Geometry,Designs and Drawings,H,قم ببناء مثلث قاعدته 8 سم، وارتفاعه 5 سم، وزاوية الرأس 40°.
Geometry,symmetries and mappings,B,دوّن الأشكال المتماثلة في الدائرة.
Geometry,symmetries and mappings,B,لون النصفين المتطابقين بنفس اللون.
Geometry,symmetries and mappings,B,ما الحروف التي تحتوي على تماثل؟ A، B، C، D، E
Geometry,symmetries and mappings,B,ارسم الشكل الناتج عندما يتم قلب المربع على خط.
Geometry,symmetries and mappings,C,أي من الأشكال التالية يحتوي على أكثر من خط تماثل: المربع، المستطيل، أم المثلث؟
Geometry,symmetries and mappings,C,صح أم خطأ: للشكل الدائري عدد غير محدد من خطوط التماثل.
Geometry,symmetries and mappings,C,إذا كان الشكل لديه خط تماثل واحد فقط، اذكر مثالاً واحداً عليه.
Geometry,symmetries and mappings,C,أي الأشكال التالية لديه تماثل: طائرة ورقية، متوازي أضلاع، شبه منحرف؟
Geometry,symmetries and mappings,D,قم بتدوير النقطة (1، 4) بزاوية 90 درجة في اتجاه عقارب الساعة حول نقطة الأصل.
